angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,racePos,rpm,speedX,speedY,speedZ,trackPos,z,opponents,steer,accel,brake,gear_act
0,-0.702,0,1047.91,0,94,0,0,1,942.478,-0.0738479,0.0103507,-0.00874687,-0.333391,0.365453,"[30.2577, 10.5328, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 58.019, 19.8675]",0.0,0.0,0.0,1
0,-0.682,0,1047.91,0,94,0,0,1,942.478,-0.0738479,0.0103507,-0.00874687,-0.333391,0.365453,"[30.2577, 10.5328, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 58.019, 19.8675]",0.0,0.0,0.0,1
0,-0.662,0,1047.91,0,94,0,0,1,942.478,-0.0738479,0.0103507,-0.00874687,-0.333391,0.365453,"[30.2577, 10.5328, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 58.019, 19.8675]",0.0,0.0,0.0,1
0,-0.642,0,1047.91,0,94,0,0,1,942.478,-0.0738479,0.0103507,-0.00874687,-0.333391,0.365453,"[30.2577, 10.5328, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 58.019, 19.8675]",0.0,0.0,0.0,1
0,-0.622,0,1047.91,0,94,0,0,1,942.478,-0.0738479,0.0103507,-0.00874687,-0.333391,0.365453,"[30.2577, 10.5328, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 58.019, 19.8675]",0.0,0.0,0.0,1
0,-0.602,0,1047.91,0,94,0,0,1,942.478,-0.0738479,0.0103507,-0.00874687,-0.333391,0.365453,"[30.2577, 10.5328, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 58.019, 19.8675]",0.0,0.0,0.0,1
0,-0.582,0,1047.91,0,94,0,0,1,942.478,-0.0738479,0.0103507,-0.00874687,-0.333391,0.365453,"[30.2577, 10.5328, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 58.019, 19.8675]",0.0,0.0,0.0,1
0,-0.562,0,1047.91,0,94,0,0,1,942.478,-0.0738479,0.0103507,-0.00874687,-0.333391,0.365453,"[30.2577, 10.5328, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 58.019, 19.8675]",0.0,0.0,0.0,1
0,-0.542,0,1047.91,0,94,0,0,1,942.478,-0.0738479,0.0103507,-0.00874687,-0.333391,0.365453,"[30.2577, 10.5328, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 58.019, 19.8675]",0.0,0.0,0.0,1
0,-0.522,0,1047.91,0,94,0,0,1,942.478,-0.0738479,0.0103507,-0.00874687,-0.333391,0.365453,"[30.2577, 10.5328, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 58.019, 19.8675]",0.0,0.0,0.0,1
